UUID,Zielobjekt,Definition,ChildOfUUID
047aa523-6955-423d-924e-8376fb1d5722,Interpersonelle Kommunikation,,
05df1662-903f-41ff-ba88-0fbe86050550,Faxe,,
09517106-2c2c-411e-a06c-65736363286f,Räume,,
19c946fc-e991-44ee-87c5-7bbe5d5aaf55,Hostsysteme,,
1a4fb57d-1648-4111-979d-6a5f4f848620,Netze,,
36cb0d6b-2f90-43bc-b625-9870112cf847,Webanwendungen,,
38167a3c-ee3e-4261-9c44-994c15a31d2c,Virtualisierungslösungen,,
39147c55-a952-4c34-8e2e-b8ac02a2eae7,Fahrzeuge,,
3a894eaa-7b42-4f59-9961-76c9a3ec2837,Serverräume,,
422401b2-2c71-4ea5-a71c-6f386ba16cfc,Gebäude,,
427da6dd-d744-4b2b-88b7-f0a695f21e14,IT-Systeme,,
564530dd-29ce-4988-9192-3b4dbfef061c,Räume für technische Infrastruktur,,
67f74abf-162d-4e47-a24a-6ff53e9b124d,TK-Anwendungen,,
7a2b2665-c790-4395-9980-867c900be347,Verzeichnisdienste,,
7aa03e0c-a417-4b08-a6d5-b89bd63c6a83,E-Mail,,
7e41ecf5-1831-4691-ad0c-4fc7bbc1b871,Anwendungen,,
82a399a2-2fa7-4dd2-9850-89a7ee0505ea,WLANs,,
837781a4-7b47-4695-9545-a3310eac7a66,Endgeräte,,
8b64663c-8388-40bc-a68b-473e753ae4d0,Webbrowser,,
9f9c827a-1933-46fd-a0c6-f990990745df,Mobiltelefone,,
b1411d0f-ffd1-45b7-837b-cd97ba4ed9e7,Webserver,,
b5f9e5ce-d90e-4da5-8ee7-32eae4829e55,Office-Anwendungen,,
d2a23b62-9c66-4f72-98e2-17518d5dbe0f,Cloud-Dienste,,
dfd8e05b-a028-4403-9776-255b968cc4a6,Datenträgerarchiv,,
efd76832-f5a1-432a-836d-c8d5c6d212cc,Administrierende,,
f88fd07b-f918-45b5-80a5-59fcea43a99c,DNS-Server,,
ff3b07f0-1d19-44fb-ac2c-dea97010c5b8,Outsourcing,,
